text,sentiment
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
The momentum gained after the BJP National Executive Committee Meeting at Bhubaneswar must be maintained till the grand ba,1
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,1
Heard many har core BJP supporters didnt go out for vote,0
Are you denying that the BJP has not controlled the Municipal Corporation of Delhi for the last years,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
was top trend till lunch Now BJP wave and EVMs are among trending topics,1
Upper caste minds of the BJP can only ever use Dalits against Muslims because Dalits are like cannon fodder,0
A new confidence is invented called Confidence It is observed in post and now i,0
Been informed by PMO sources that AAI will begin a crore eansion of Guwahati airport terminal from October That s g,1
presidential elections Can a united Opposition spoil BJP s chances A primer to presidential poll,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
rest assured political collaboration can never stand against political nationalism me b modi,0
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
BJP will oust Left in Tripura Ram Madhav,1
for Good and Sensible Governance Delhi is tired of BJP led corrupt MCD and Tu Tu Mai Mai of Kejriwal ht,0
Appeal every voter in to vote for development,1
Shri Narendra Modi s mask of providing clean governance has now come off,1
BJP will oust Left in Tripura Ram Madhav,0
The momentum gained after the BJP National Executive Committee Meeting at Bhubaneswar must be maintained till the grand ba,1
BJP winning MCD Elections again What new would they do this time besides increasing corruption rate amp making Delhi Dirty,0
People I m talking to have no idea that the bjp has been running the MCD for years Voting bjp because bjp because bjp will,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
Appeal every voter in to vote for development,1
V interesting article by Amb M Bhadrakumar Indian PM s visit n s supprt fr,1
Now kin of BJP leader batter a policeman in MP Happening frequently now in BJP by via,0
People who were so angry about the BJP turning JNU into a battlezone or about cow terrorists running riot Funny watching th,1
ties more visible under the Modi government Israeli Ambassador,1
BJP fought the on promise of Citywide door to door garbage collection amp waste segregation Public toil,1
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
for Good and Sensible Governance Delhi is tired of BJP led corrupt MCD and Tu Tu Mai Mai of Kejriwal ht,0
Shri Narendra Modi s mask of providing clean governance has now come off,0
This tweet means the following is losing Reason is EVM EVM doctored by Modi Shah,0
presidential elections Can a united Opposition spoil BJP s chances A primer to presidential poll,0
ALL OPPOSITION EVEN TALKING FOREIGN HELP TO DEFAME MODI JI GOVT SHAME https,0
was top trend till lunch Now BJP wave and EVMs are among trending topics,0
Ajaz Khan Laments PM Modi amp UP CM Yogi on Cow Protection Maintains high level of Silence on Islamic Hooliganism https,1
Shri Narendra Modi s mask of providing clean governance has now come off,0
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
Modi has been PM for almost years MCD hasn t improved under BJP If anything center has messed around with u b Delhi governanc,0
Shri Narendra Modi s mask of providing clean governance has now come off,0
BJP leader,1
Video Mathura SSP Singham Avatar detains BJP Leader for Misbehavinghttps,0
Here I educate uNationalist of BJPAll Work selflessly,1
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
who pays for modi s front page ads dmrc ads and lot more his foreign trips,0
My area is perfectly fine Plz dont use PURE DELHI you guys already made fool to Delhi Now time for BJP,1
As for what making BJP win is going to give us it s NOT better education or infrastructure It s garbage,1
I am bigg and bigg supporter of Advani Jee And also I am BJP Follower,1
You are not alone Just voted for BJP,1
vote for MODI WITH YOGI,1
now attached with BJP inJK govt mismatch marriage can t go,1
Modi did snooping on a young girl in Gujarat Shame on Snooper Modi https,0
Addressed public meetings in various areas of East Delhi Appealed to people to vote BJP candidates,1
Shri Narendra Modi s mask of providing clean governance has now come off,0
Appeal every voter in to vote for development,1
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
Shri Narendra Modi s mask of providing clean governance has now come off,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
BJP having Campaign Material on booth Table in Rohini Violation of Model code of Conduct EC silent on Goondaism of,1
Vote for,1
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
The Supreme Court will need to quash Shariat Act or Modi Govt will need to bring in a new law for to b,1
Voting for a no th party candidate in is the worst thing for ruling party and it is happening,0
BJP having Campaign Material on booth Table in Rohini Violation of Model code of Conduct EC silent on Goondaism of,0
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,1
Modi has been PM for almost years MCD hasn t improved under BJP If anything center has messed around with u b Delhi governanc,0
Shocked to hear the statement from a senior BJP leader First they say Muslims in UP voted for them then the Minister contra,0
Upper caste minds of the BJP can only ever use Dalits against Muslims because Dalits are like cannon fodder,0
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
Just Voted for BJP,1
Campaigning in Ramesh Nagar in support of Veena Virmani Ji A big thanks to BJP workers to support Veena Ji,1
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
Jammu and Kashmir chief minister Mehbooba Mufti is eected to meet the Prime Minister Narendra Modi and other https,1
She was never part of bjp it cell,1
MMS lost elections but kept Indian democracy on winning path Now here is Modi winning elections but molesting democracy,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
U have no idea abt Mr Kejriwal To prove his point He can even vote for BJP and shout where is my vote He is the N,
Please cast your vote in Bring change in by showing Exit Door BJP who has corrupted MCD imm,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
BJP worker Ma am plse Vote for BJP South delhi Girl Nahi mai toh lotus ko vote dungi it s my fav flower,
BJP voters are not coming out of houses,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
Voted for Voted for Voted for,
Appeal every voter in to vote for development,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Sir please make us understand how come can cut electricity and water in when u rule it,
Voted for Voted for Voted for,
A minister is for ALL Indians but Ravi Shankar Prasad thinks he is minister of Hindus only That is why Owaisi here https,
ALL OPPOSITION EVEN TALKING FOREIGN HELP TO DEFAME MODI JI GOVT SHAME https,
Appeal every voter in to vote for development,
Delhi will vote to fix Muncipial Corporations run by BJP for years by voting for BJP And then curse that nothing works,
presidential elections Can a united Opposition spoil BJP s chances A primer to presidential poll,
As for what making BJP win is going to give us it s NOT better education or infrastructure It s garbage,
Today evening I look forward to interacting with CMs of states governed by the BJP,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
People I m talking to have no idea that the bjp has been running the MCD for years Voting bjp because bjp because bjp will,
Are you asking Narendra Modi He is running a govt with separatist sympathiser PDP,
Another one of s scams I believe My mothers name was comfortable eliminated from the voting list without any reason,
for Good and Sensible Governance Delhi is tired of BJP led corrupt MCD and Tu Tu Mai Mai of Kejriwal ht,
Shri Narendra Modi s mask of providing clean governance has now come off,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
The momentum gained after the BJP National Executive Committee Meeting at Bhubaneswar must be maintained till the grand ba,
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,
Heard many har core BJP supporters didnt go out for vote,
Are you denying that the BJP has not controlled the Municipal Corporation of Delhi for the last years,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
was top trend till lunch Now BJP wave and EVMs are among trending topics,
Upper caste minds of the BJP can only ever use Dalits against Muslims because Dalits are like cannon fodder,
A new confidence is invented called Confidence It is observed in post and now i,
Been informed by PMO sources that AAI will begin a crore eansion of Guwahati airport terminal from October That s g,
presidential elections Can a united Opposition spoil BJP s chances A primer to presidential poll,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
rest assured political collaboration can never stand against political nationalism me b modi,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
BJP will oust Left in Tripura Ram Madhav,
for Good and Sensible Governance Delhi is tired of BJP led corrupt MCD and Tu Tu Mai Mai of Kejriwal ht,
Appeal every voter in to vote for development,
Shri Narendra Modi s mask of providing clean governance has now come off,
BJP will oust Left in Tripura Ram Madhav,
The momentum gained after the BJP National Executive Committee Meeting at Bhubaneswar must be maintained till the grand ba,
BJP winning MCD Elections again What new would they do this time besides increasing corruption rate amp making Delhi Dirty,
People I m talking to have no idea that the bjp has been running the MCD for years Voting bjp because bjp because bjp will,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Appeal every voter in to vote for development,
V interesting article by Amb M Bhadrakumar Indian PM s visit n s supprt fr,
Now kin of BJP leader batter a policeman in MP Happening frequently now in BJP by via,
People who were so angry about the BJP turning JNU into a battlezone or about cow terrorists running riot Funny watching th,
ties more visible under the Modi government Israeli Ambassador,
BJP fought the on promise of Citywide door to door garbage collection amp waste segregation Public toil,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
for Good and Sensible Governance Delhi is tired of BJP led corrupt MCD and Tu Tu Mai Mai of Kejriwal ht,
Shri Narendra Modi s mask of providing clean governance has now come off,
This tweet means the following is losing Reason is EVM EVM doctored by Modi Shah,
presidential elections Can a united Opposition spoil BJP s chances A primer to presidential poll,
ALL OPPOSITION EVEN TALKING FOREIGN HELP TO DEFAME MODI JI GOVT SHAME https,
was top trend till lunch Now BJP wave and EVMs are among trending topics,
Ajaz Khan Laments PM Modi amp UP CM Yogi on Cow Protection Maintains high level of Silence on Islamic Hooliganism https,
Shri Narendra Modi s mask of providing clean governance has now come off,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Modi has been PM for almost years MCD hasn t improved under BJP If anything center has messed around with u b Delhi governanc,
Shri Narendra Modi s mask of providing clean governance has now come off,
BJP leader,
Video Mathura SSP Singham Avatar detains BJP Leader for Misbehavinghttps,
Here I educate uNationalist of BJPAll Work selflessly,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
who pays for modi s front page ads dmrc ads and lot more his foreign trips,
My area is perfectly fine Plz dont use PURE DELHI you guys already made fool to Delhi Now time for BJP,
As for what making BJP win is going to give us it s NOT better education or infrastructure It s garbage,
I am bigg and bigg supporter of Advani Jee And also I am BJP Follower,
You are not alone Just voted for BJP,
vote for MODI WITH YOGI,
now attached with BJP inJK govt mismatch marriage can t go,
Modi did snooping on a young girl in Gujarat Shame on Snooper Modi https,
Addressed public meetings in various areas of East Delhi Appealed to people to vote BJP candidates,
Shri Narendra Modi s mask of providing clean governance has now come off,
Appeal every voter in to vote for development,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Shri Narendra Modi s mask of providing clean governance has now come off,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
BJP having Campaign Material on booth Table in Rohini Violation of Model code of Conduct EC silent on Goondaism of,
Vote for,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
The Supreme Court will need to quash Shariat Act or Modi Govt will need to bring in a new law for to b,
Voting for a no th party candidate in is the worst thing for ruling party and it is happening,
BJP having Campaign Material on booth Table in Rohini Violation of Model code of Conduct EC silent on Goondaism of,
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,
Modi has been PM for almost years MCD hasn t improved under BJP If anything center has messed around with u b Delhi governanc,
Shocked to hear the statement from a senior BJP leader First they say Muslims in UP voted for them then the Minister contra,
Upper caste minds of the BJP can only ever use Dalits against Muslims because Dalits are like cannon fodder,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Just Voted for BJP,
Campaigning in Ramesh Nagar in support of Veena Virmani Ji A big thanks to BJP workers to support Veena Ji,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Jammu and Kashmir chief minister Mehbooba Mufti is eected to meet the Prime Minister Narendra Modi and other https,
She was never part of bjp it cell,
MMS lost elections but kept Indian democracy on winning path Now here is Modi winning elections but molesting democracy,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
U have no idea abt Mr Kejriwal To prove his point He can even vote for BJP and shout where is my vote He is the N,
Please cast your vote in Bring change in by showing Exit Door BJP who has corrupted MCD imm,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
BJP worker Ma am plse Vote for BJP South delhi Girl Nahi mai toh lotus ko vote dungi it s my fav flower,
BJP voters are not coming out of houses,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
Voted for Voted for Voted for,
Appeal every voter in to vote for development,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Sir please make us understand how come can cut electricity and water in when u rule it,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
BJP worker Ma am plse Vote for BJP South delhi Girl Nahi mai toh lotus ko vote dungi it s my fav flower,
Are you denying that the BJP has not controlled the Municipal Corporation of Delhi for the last years,
I vote for a but definitely not Cause pichle saalo se kaam dikh raha hai unka So vote for change vote for,
She is not anchoring promoting BJP PAID news agency,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
on Modi Govt advisory on with htt,
MMS lost elections but kept Indian democracy on winning path Now here is Modi winning elections but molesting democracy,
More than leaving Cong more interesting that all rotten eggs of Cong being inducted by BJP Indeed Cong Yukt BJP,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Yes I live near Azad Mkt MCD destroyed the area Ppl joke that BJP will erect a statue to divert attention from the de,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Some parts of Modi Speech in Channai Conclusion Modi guv made adhar mandatory Modi visited Nawaj breakin,
PM Narendra Modi urges for clean green planethttps via NMApp,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,
Housing for poor registers more growth under Modi Govt than in years of UPA Govtvia NMApp,
Delhi will vote to fix Muncipial Corporations run by BJP for years by voting for BJP And then curse that nothing works,
SIO President demands apology from BJP leader Tarun Vijay over his rhetoric tweets related to Islamic dress,
Indo Israel ties are more visible under the Modi government says Israeli Ambassador Daniel Carmon PTI,
leaders including stat BJP chief slam China for renaming places in the state,
Tomorrow evening I look forward to interacting with CMs of states governed by the BJP Tweeted yesterday by PM Chan,
Revolutionary decision Will bring long lost govt officials to office in time Each office shu,
People I m talking to have no idea that the bjp has been running the MCD for years Voting bjp because bjp because bjp will,
Shri Narendra Modi s mask of providing clean governance has now come off,
Sources And BJP s highest leadership begged to Tehseen for joining,
Ajaz Khan Laments PM Modi amp UP CM Yogi on Cow Protection Maintains high level of Silence on Islamic Hooliganism https,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
My statement on story on behalf of attack on Saharanpur SSP house by mob led by MP Ra,
Plz reply soon pm modi sir,
SIO President demands apology from BJP leader Tarun Vijay over his rhetoric tweets related to Islamic dress,
Or like Punjab tampered one put I Place where bjp losing,
leaders including stat BJP chief slam China for renaming places in the state,
Shri Narendra Modi s mask of providing clean governance has now come off,
Some parts of Modi Speech in Channai Conclusion Modi guv made adhar mandatory Modi visited Nawaj breakin,
Not blaming Modi but the India that s been made in his governance Especially by the bhakts,
So for the first time prominent Muslim leaders and groups hit out at Prime Minister Narendra Modi for lecturing https,
He does not know if pressing AAP candidate button if vote went to BJP or INC or independent Constipated face to dik,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Thats very true Donald J Trump Let modi should take a lesson,
voted for bjp in mcd pole today,
More than leaving Cong more interesting that all rotten eggs of Cong being inducted by BJP Indeed Cong Yukt BJP,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
